,cost,probabilities,shares,p_shares,payments,round_num
0,219.72245773362195,"{'A': 0.3333333333333333, 'B': 0.3333333333333333, 'C': 0.3333333333333333}","{'A': 0.0, 'B': 0.0, 'C': 0.0}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}","{1: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 2: {'A': 0.0, 'B': 0.0, 'C': 0.0}, 3: {'A': 0.0, 'B': 0.0, 'C': 0.0}}",0
1,220.01056464701674,"{'A': 0.33367388419339294, 'B': 0.33338625056424015, 'C': 0.33293986524236696}","{'A': 0.4923331230683162, 'B': 0.3198547319955882, 'C': 0.05188661364499303}","{1: {'A': 0.4923331230683162, 'B': 0.3198547319955882, 'C': 0.05188661364499303}, 2: {'A': 0.4923331230683162, 'B': 0.3198547319955882, 'C': 0.05188661364499303}, 3: {'A': 0.4923331230683162, 'B': 0.3198547319955882, 'C': 0.05188661364499303}}","{1: {'A': 0.28810691339478467, 'B': 0.28810691339478467, 'C': 0.28810691339478467}, 2: {'A': 0.28810691339478467, 'B': 0.28810691339478467, 'C': 0.28810691339478467}, 3: {'A': 0.28810691339478467, 'B': 0.28810691339478467, 'C': 0.28810691339478467}}",1
2,220.72015864085878,"{'A': 0.3333457656630254, 'B': 0.3338441797896717, 'C': 0.33281005454730295}","{'A': 1.0051601659489613, 'B': 1.3039741530352684, 'C': 0.6834869387832598}","{1: {'A': 0.5128270428806451, 'B': 0.9841194210396802, 'C': 0.6316003251382668}, 2: {'A': 0.5128270428806451, 'B': 0.9841194210396802, 'C': 0.6316003251382668}, 3: {'A': 0.5128270428806451, 'B': 0.9841194210396802, 'C': 0.6316003251382668}}","{1: {'A': 0.7094542880945482, 'B': 0.7097622258297065, 'C': 0.7096090053360058}, 2: {'A': 0.7094542880945482, 'B': 0.7097622258297065, 'C': 0.7096090053360058}, 3: {'A': 0.7094542880945482, 'B': 0.7097622258297065, 'C': 0.7096090053360058}}",2
3,220.80542333919456,"{'A': 0.333542229896045, 'B': 0.3337097839045457, 'C': 0.3327479861994094}","{'A': 1.2082642856037737, 'B': 1.3087085007171164, 'C': 0.7314485955967988}","{1: {'A': 0.20310411965481245, 'B': 0.004734347681848106, 'C': 0.04796165681353892}, 2: {'A': 0.20310411965481245, 'B': 0.004734347681848106, 'C': 0.04796165681353892}, 3: {'A': 0.20310411965481245, 'B': 0.004734347681848106, 'C': 0.04796165681353892}}","{1: {'A': 0.08548244706685182, 'B': 0.08510963096281898, 'C': 0.08524230843406144}, 2: {'A': 0.08548244706685182, 'B': 0.08510963096281898, 'C': 0.08524230843406144}, 3: {'A': 0.08548244706685182, 'B': 0.08510963096281898, 'C': 0.08524230843406144}}",3
4,221.54419806126654,"{'A': 0.33393111940375286, 'B': 0.3329855467241495, 'C': 0.33308333387209765}","{'A': 2.180090740524486, 'B': 1.6129594263819638, 'C': 1.6716843730050333}","{1: {'A': 0.9718264549207121, 'B': 0.30425092566484735, 'C': 0.9402357774082345}, 2: {'A': 0.9718264549207121, 'B': 0.30425092566484735, 'C': 0.9402357774082345}, 3: {'A': 0.9718264549207121, 'B': 0.30425092566484735, 'C': 0.9402357774082345}}","{1: {'A': 0.7394769818534428, 'B': 0.7380591074903009, 'C': 0.7392529795050962}, 2: {'A': 0.7394769818534428, 'B': 0.7380591074903009, 'C': 0.7392529795050962}, 3: {'A': 0.7394769818534428, 'B': 0.7380591074903009, 'C': 0.7392529795050962}}",4
5,222.03407990804766,"{'A': 0.3339356426481278, 'B': 0.33362575591193466, 'C': 0.33243860143993753}","{'A': 2.6726816572171512, 'B': 2.4869988066985247, 'C': 1.7740612558502713}","{1: {'A': 0.4925909166926651, 'B': 0.8740393803165609, 'C': 0.10237688284523805}, 2: {'A': 0.4925909166926651, 'B': 0.8740393803165609, 'C': 0.10237688284523805}, 3: {'A': 0.4925909166926651, 'B': 0.8740393803165609, 'C': 0.10237688284523805}}","{1: {'A': 0.4899269109584452, 'B': 0.49095217602399543, 'C': 0.4888369805792365}, 2: {'A': 0.4899269109584452, 'B': 0.49095217602399543, 'C': 0.4888369805792365}, 3: {'A': 0.4899269109584452, 'B': 0.49095217602399543, 'C': 0.4888369805792365}}",5
6,222.37270848072424,"{'A': 0.333785406749173, 'B': 0.3342808203997146, 'C': 0.33193377285111236}","{'A': 2.9213110294038813, 'B': 3.217936556168172, 'C': 1.8087466150397424}","{1: {'A': 0.2486293721867303, 'B': 0.7309377494696474, 'C': 0.03468535918947113}, 2: {'A': 0.2486293721867303, 'B': 0.7309377494696474, 'C': 0.03468535918947113}, 3: {'A': 0.2486293721867303, 'B': 0.7309377494696474, 'C': 0.03468535918947113}}","{1: {'A': 0.33789597935594884, 'B': 0.3399286464083957, 'C': 0.33739784354079916}, 2: {'A': 0.33789597935594884, 'B': 0.3399286464083957, 'C': 0.33739784354079916}, 3: {'A': 0.33789597935594884, 'B': 0.3399286464083957, 'C': 0.33739784354079916}}",6
7,222.70351414899903,"{'A': 0.33424519066808156, 'B': 0.3342096701999841, 'C': 0.3315451391319343}","{'A': 3.5274238427633033, 'B': 3.506168574705444, 'C': 1.9052516858990352}","{1: {'A': 0.6061128133594219, 'B': 0.288232018537272, 'C': 0.09650507085929283}, 2: {'A': 0.6061128133594219, 'B': 0.288232018537272, 'C': 0.09650507085929283}, 3: {'A': 0.6061128133594219, 'B': 0.288232018537272, 'C': 0.09650507085929283}}","{1: {'A': 0.33174034179484124, 'B': 0.3301670287523848, 'C': 0.32968800735702075}, 2: {'A': 0.33174034179484124, 'B': 0.3301670287523848, 'C': 0.32968800735702075}, 3: {'A': 0.33174034179484124, 'B': 0.3301670287523848, 'C': 0.32968800735702075}}",7
8,223.2380986370302,"{'A': 0.33491769981638897, 'B': 0.33392169191769966, 'C': 0.33116060826591137}","{'A': 4.464008731168123, 'B': 3.8683448709073316, 'C': 2.2077386490858615}","{1: {'A': 0.9365848884048197, 'B': 0.36217629620188785, 'C': 0.30248696318682655}, 2: {'A': 0.9365848884048197, 'B': 0.36217629620188785, 'C': 0.30248696318682655}, 3: {'A': 0.9365848884048197, 'B': 0.36217629620188785, 'C': 0.30248696318682655}}","{1: {'A': 0.536330157486077, 'B': 0.5329474918760866, 'C': 0.5332180361972974}, 2: {'A': 0.536330157486077, 'B': 0.5329474918760866, 'C': 0.5332180361972974}, 3: {'A': 0.536330157486077, 'B': 0.5329474918760866, 'C': 0.5332180361972974}}",8
9,223.92817618993072,"{'A': 0.33487020906208453, 'B': 0.3336654631792642, 'C': 0.33146432775865137}","{'A': 5.12572461688746, 'B': 4.4048971505541346, 'C': 3.0811594464057244}","{1: {'A': 0.6617158857193373, 'B': 0.5365522796468031, 'C': 0.8734207973198627}, 2: {'A': 0.6617158857193373, 'B': 0.5365522796468031, 'C': 0.8734207973198627}, 3: {'A': 0.6617158857193373, 'B': 0.5365522796468031, 'C': 0.8734207973198627}}","{1: {'A': 0.6903955539651747, 'B': 0.6896152589668816, 'C': 0.6912855138188547}, 2: {'A': 0.6903955539651747, 'B': 0.6896152589668816, 'C': 0.6912855138188547}, 3: {'A': 0.6903955539651747, 'B': 0.6896152589668816, 'C': 0.6912855138188547}}",9
